Date,UPI Banks,Volume (Mn) By Customers,Value (Cr) by Customers,Month,Year,Sentiment_Score_GooglePay,Sentiment_Score_PhonePe,Sentiment_Score_Paytm
25-06-2017,Google Pay,2.013472683,3421.825512,June,2017,,,
26-06-2017,Google Pay,1.727591827,3422.058633,June,2017,,,
27-06-2017,Google Pay,2.058180966,3429.543842,June,2017,,,
28-06-2017,Google Pay,1.944835898,3411.577833,June,2017,,,
29-06-2017,Google Pay,1.760329953,3441.491991,June,2017,,,
30-06-2017,Google Pay,1.956063837,3427.092304,June,2017,,,
01-06-2017,PhonePe,2.469102218,4210.340651,June,2017,,,
02-06-2017,PhonePe,2.55205067,4218.225688,June,2017,,,
03-06-2017,PhonePe,2.237656543,4215.659978,June,2017,,,
04-06-2017,PhonePe,2.42913477,4220.132593,June,2017,,,
05-06-2017,PhonePe,2.367989385,4224.326348,June,2017,,,
06-06-2017,PhonePe,2.361446994,4221.489027,June,2017,,,
07-06-2017,PhonePe,2.488436712,4222.733823,June,2017,,,
08-06-2017,PhonePe,2.45319074,4215.013417,June,2017,,,
09-06-2017,PhonePe,2.458018419,4222.791632,June,2017,,,
10-06-2017,PhonePe,2.407873358,4206.520848,June,2017,,,
11-06-2017,PhonePe,2.385601951,4219.92305,June,2017,,,
12-06-2017,PhonePe,2.504145842,4223.430687,June,2017,,,
13-06-2017,PhonePe,2.413620868,4228.925074,June,2017,,,
14-06-2017,PhonePe,2.488918207,4212.932262,June,2017,,,
15-06-2017,PhonePe,2.336020646,4226.023631,June,2017,,,
16-06-2017,PhonePe,2.203226476,4232.659553,June,2017,,,
17-06-2017,PhonePe,2.375492614,4208.464257,June,2017,,,
18-06-2017,PhonePe,2.498430796,4223.443584,June,2017,,,
19-06-2017,PhonePe,2.469796398,4208.77918,June,2017,,,
20-06-2017,PhonePe,2.523973516,4205.943232,June,2017,,,
21-06-2017,PhonePe,2.332442253,4211.586389,June,2017,,,
22-06-2017,PhonePe,2.444395402,4208.584492,June,2017,,,
23-06-2017,PhonePe,2.248677208,4210.478257,June,2017,,,
24-06-2017,PhonePe,2.37713917,4227.293093,June,2017,,,
25-06-2017,PhonePe,2.455481988,4205.783224,June,2017,,,
26-06-2017,PhonePe,2.650412212,4222.151561,June,2017,,,
27-06-2017,PhonePe,2.373681714,4214.122919,June,2017,,,
28-06-2017,PhonePe,2.601036971,4216.935882,June,2017,,,
29-06-2017,PhonePe,2.481185595,4225.116362,June,2017,,,
30-06-2017,PhonePe,2.317305143,4244.252576,June,2017,,,
01-06-2017,Paytm Payments Bank App,0.526515453,578.4744814,June,2017,,,
02-06-2017,Paytm Payments Bank App,0.600139186,584.7882824,June,2017,,,
03-06-2017,Paytm Payments Bank App,0.496226207,572.5216319,June,2017,,,
04-06-2017,Paytm Payments Bank App,0.628393662,588.0841745,June,2017,,,
05-06-2017,Paytm Payments Bank App,0.464556005,592.9902267,June,2017,,,
06-06-2017,Paytm Payments Bank App,0.479775163,594.3600446,June,2017,,,
07-06-2017,Paytm Payments Bank App,0.68733544,600.9274409,June,2017,,,
08-06-2017,Paytm Payments Bank App,0.524742262,572.5118051,June,2017,,,
09-06-2017,Paytm Payments Bank App,0.430949277,571.8828294,June,2017,,,
10-06-2017,Paytm Payments Bank App,0.507904079,579.9817248,June,2017,,,
11-06-2017,Paytm Payments Bank App,0.532293511,573.232952,June,2017,,,
12-06-2017,Paytm Payments Bank App,0.414978642,602.1839388,June,2017,,,
13-06-2017,Paytm Payments Bank App,0.698778787,576.8187808,June,2017,,,
14-06-2017,Paytm Payments Bank App,0.590049943,572.0158646,June,2017,,,
15-06-2017,Paytm Payments Bank App,0.591503825,593.9029985,June,2017,,,
16-06-2017,Paytm Payments Bank App,0.673610478,570.5187529,June,2017,,,
17-06-2017,Paytm Payments Bank App,0.437209953,587.1066128,June,2017,,,
18-06-2017,Paytm Payments Bank App,0.653991304,573.205137,June,2017,,,
19-06-2017,Paytm Payments Bank App,0.469882664,584.5014425,June,2017,,,
20-06-2017,Paytm Payments Bank App,0.67310617,577.1751385,June,2017,,,
21-06-2017,Paytm Payments Bank App,0.661153661,589.7109087,June,2017,,,
22-06-2017,Paytm Payments Bank App,0.58305143,580.2487247,June,2017,,,
23-06-2017,Paytm Payments Bank App,0.486578115,561.3433823,June,2017,,,
24-06-2017,Paytm Payments Bank App,0.418205973,566.6742057,June,2017,,,
25-06-2017,Paytm Payments Bank App,0.569305242,585.4166244,June,2017,,,
26-06-2017,Paytm Payments Bank App,0.55275198,582.9573695,June,2017,,,
27-06-2017,Paytm Payments Bank App,0.593906808,605.0420819,June,2017,,,
28-06-2017,Paytm Payments Bank App,0.576155807,557.3465031,June,2017,,,
29-06-2017,Paytm Payments Bank App,0.479564298,567.1281958,June,2017,,,
30-06-2017,Paytm Payments Bank App,0.53221741,562.6450974,June,2017,,,
01-07-2017,Google Pay,2.137685117,3614.580848,July,2017,,,
02-07-2017,Google Pay,2.069159444,3606.347948,July,2017,,,
03-07-2017,Google Pay,2.186991065,3583.86154,July,2017,,,
04-07-2017,Google Pay,2.020561892,3603.005057,July,2017,,,
05-07-2017,Google Pay,2.131222508,3597.864281,July,2017,,,
06-07-2017,Google Pay,2.403971774,3614.008131,July,2017,,,
07-07-2017,Google Pay,2.151873227,3606.110096,July,2017,,,
08-07-2017,Google Pay,2.330911831,3624.51534,July,2017,,,
09-07-2017,Google Pay,2.060939366,3612.007358,July,2017,,,
10-07-2017,Google Pay,2.195045611,3601.399874,July,2017,,,
11-07-2017,Google Pay,1.991530847,3608.532964,July,2017,,,
12-07-2017,Google Pay,1.941789469,3599.921351,July,2017,,,
13-07-2017,Google Pay,2.091128987,3628.454617,July,2017,,,
14-07-2017,Google Pay,2.029527613,3600.626283,July,2017,,,
15-07-2017,Google Pay,2.064797368,3600.954697,July,2017,,,
16-07-2017,Google Pay,2.142094259,3610.616546,July,2017,,,
17-07-2017,Google Pay,2.262737522,3635.274571,July,2017,,,
18-07-2017,Google Pay,1.947419651,3601.705557,July,2017,,,
19-07-2017,Google Pay,2.153115506,3598.250934,July,2017,,,
20-07-2017,Google Pay,2.113009779,3602.502058,July,2017,,,
21-07-2017,Google Pay,1.923002989,3600.662633,July,2017,,,
22-07-2017,Google Pay,2.040169369,3597.009636,July,2017,,,
23-07-2017,Google Pay,2.250204474,3599.061547,July,2017,,,
24-07-2017,Google Pay,1.973704063,3619.634223,July,2017,,,
25-07-2017,Google Pay,1.968120046,3609.276181,July,2017,,,
26-07-2017,Google Pay,2.172062168,3607.386417,July,2017,,,
27-07-2017,Google Pay,1.973563242,3620.870014,July,2017,,,
28-07-2017,Google Pay,2.099817925,3612.640551,July,2017,,,
29-07-2017,Google Pay,2.145616893,3618.063374,July,2017,,,
30-07-2017,Google Pay,2.029854013,3611.12823,July,2017,,,
31-07-2017,Google Pay,2.188429874,3590.271635,July,2017,,,
01-07-2017,PhonePe,2.701785625,4431.361052,July,2017,,,
02-07-2017,PhonePe,2.696840701,4415.072251,July,2017,,,
03-07-2017,PhonePe,2.823659038,4430.266269,July,2017,,,
04-07-2017,PhonePe,2.700553746,4441.211927,July,2017,,,
05-07-2017,PhonePe,2.754050729,4451.620711,July,2017,,,
06-07-2017,PhonePe,2.770139344,4414.017795,July,2017,,,
07-07-2017,PhonePe,2.678048226,4432.551019,July,2017,,,
08-07-2017,PhonePe,2.618756226,4433.087799,July,2017,,,
09-07-2017,PhonePe,2.540294587,4447.513122,July,2017,,,
10-07-2017,PhonePe,2.64226459,4441.309537,July,2017,,,
11-07-2017,PhonePe,2.797034564,4437.893338,July,2017,,,
12-07-2017,PhonePe,2.755010734,4435.765691,July,2017,,,
13-07-2017,PhonePe,2.781386915,4439.626507,July,2017,,,
14-07-2017,PhonePe,2.777563476,4437.238899,July,2017,,,
15-07-2017,PhonePe,2.656487498,4427.842916,July,2017,,,
16-07-2017,PhonePe,2.791342029,4429.554671,July,2017,,,
17-07-2017,PhonePe,2.628253242,4446.960718,July,2017,,,
18-07-2017,PhonePe,2.796920827,4434.766621,July,2017,,,
19-07-2017,PhonePe,2.623418006,4436.731995,July,2017,,,
20-07-2017,PhonePe,2.723106355,4437.636653,July,2017,,,
21-07-2017,PhonePe,2.735532486,4430.678568,July,2017,,,
22-07-2017,PhonePe,2.704461522,4442.211432,July,2017,,,
23-07-2017,PhonePe,2.678310245,4427.752335,July,2017,,,
24-07-2017,PhonePe,2.640237573,4443.880287,July,2017,,,
25-07-2017,PhonePe,2.766505826,4429.222226,July,2017,,,
26-07-2017,PhonePe,2.822444563,4454.527878,July,2017,,,
27-07-2017,PhonePe,2.768251427,4426.737713,July,2017,,,
28-07-2017,PhonePe,2.737002499,4447.310002,July,2017,,,
29-07-2017,PhonePe,2.734803659,4442.580544,July,2017,,,
30-07-2017,PhonePe,2.699311052,4434.531403,July,2017,,,
31-07-2017,PhonePe,2.766177044,4446.583614,July,2017,,,
01-07-2017,Paytm Payments Bank App,0.553480812,617.5613297,July,2017,,,
02-07-2017,Paytm Payments Bank App,0.621034626,612.9769092,July,2017,,,
03-07-2017,Paytm Payments Bank App,0.572219146,613.7966887,July,2017,,,
04-07-2017,Paytm Payments Bank App,0.565424648,614.0161868,July,2017,,,
05-07-2017,Paytm Payments Bank App,0.465822711,610.7164002,July,2017,,,
06-07-2017,Paytm Payments Bank App,0.561627003,612.9049819,July,2017,,,
07-07-2017,Paytm Payments Bank App,0.723745994,614.0938418,July,2017,,,
08-07-2017,Paytm Payments Bank App,0.774948221,614.1502416,July,2017,,,
09-07-2017,Paytm Payments Bank App,0.622003719,600.5437228,July,2017,,,
10-07-2017,Paytm Payments Bank App,0.6422005,623.1930931,July,2017,,,
11-07-2017,Paytm Payments Bank App,0.523223144,614.5786634,July,2017,,,
12-07-2017,Paytm Payments Bank App,0.601994866,597.3150598,July,2017,,,
13-07-2017,Paytm Payments Bank App,0.596884206,607.7429479,July,2017,,,
14-07-2017,Paytm Payments Bank App,0.666691867,604.8020235,July,2017,,,
15-07-2017,Paytm Payments Bank App,0.548895298,605.9204193,July,2017,,,
16-07-2017,Paytm Payments Bank App,0.710615788,603.7917102,July,2017,,,
17-07-2017,Paytm Payments Bank App,0.568502298,602.9524773,July,2017,,,
18-07-2017,Paytm Payments Bank App,0.549687676,610.4594691,July,2017,,,
19-07-2017,Paytm Payments Bank App,0.679368626,633.3914586,July,2017,,,
20-07-2017,Paytm Payments Bank App,0.818952776,607.9341836,July,2017,,,
21-07-2017,Paytm Payments Bank App,0.580816403,624.5624664,July,2017,,,
22-07-2017,Paytm Payments Bank App,0.733834558,607.5975823,July,2017,,,
23-07-2017,Paytm Payments Bank App,0.660688145,629.5889662,July,2017,,,
24-07-2017,Paytm Payments Bank App,0.689399857,598.0753078,July,2017,,,
25-07-2017,Paytm Payments Bank App,0.466898639,600.204422,July,2017,,,
26-07-2017,Paytm Payments Bank App,0.796295762,593.1979432,July,2017,,,
27-07-2017,Paytm Payments Bank App,0.527286753,605.2848203,July,2017,,,
28-07-2017,Paytm Payments Bank App,0.490408533,599.6915181,July,2017,,,
29-07-2017,Paytm Payments Bank App,0.630471413,620.6847774,July,2017,,,
30-07-2017,Paytm Payments Bank App,0.632303815,602.7663083,July,2017,,,
31-07-2017,Paytm Payments Bank App,0.640979942,623.2517092,July,2017,,,
01-08-2017,Google Pay,2.105854748,3612.465823,August,2017,,,
02-08-2017,Google Pay,2.140897661,3604.092635,August,2017,,,
03-08-2017,Google Pay,1.87780271,3606.367633,August,2017,,,
04-08-2017,Google Pay,1.960290266,3607.911335,August,2017,,,
05-08-2017,Google Pay,2.034960414,3599.095572,August,2017,,,
06-08-2017,Google Pay,1.926916352,3614.435355,August,2017,,,
07-08-2017,Google Pay,2.043265063,3593.693487,August,2017,,,
08-08-2017,Google Pay,2.090619265,3615.075716,August,2017,,,
09-08-2017,Google Pay,2.011444382,3606.56364,August,2017,,,
10-08-2017,Google Pay,1.999031793,3619.756535,August,2017,,,
11-08-2017,Google Pay,2.250351089,3603.587751,August,2017,,,
12-08-2017,Google Pay,2.111029696,3640.267244,August,2017,,,
13-08-2017,Google Pay,2.162122884,3600.61129,August,2017,,,
14-08-2017,Google Pay,2.013457684,3608.369336,August,2017,,,
15-08-2017,Google Pay,2.071510454,3597.333553,August,2017,,,
16-08-2017,Google Pay,2.035822202,3614.344822,August,2017,,,
17-08-2017,Google Pay,1.941868265,3613.808635,August,2017,,,
18-08-2017,Google Pay,2.140400992,3611.110081,August,2017,,,
19-08-2017,Google Pay,2.037804952,3606.941027,August,2017,,,
20-08-2017,Google Pay,2.029984458,3602.640063,August,2017,,,
21-08-2017,Google Pay,2.108706333,3621.374435,August,2017,,,
22-08-2017,Google Pay,2.148675528,3620.322495,August,2017,,,
23-08-2017,Google Pay,1.996787728,3617.020262,August,2017,,,
24-08-2017,Google Pay,2.14203682,3603.704763,August,2017,,,
25-08-2017,Google Pay,2.046752883,3606.155696,August,2017,,,
26-08-2017,Google Pay,2.000954414,3612.651437,August,2017,,,
27-08-2017,Google Pay,2.041947782,3597.868114,August,2017,,,
28-08-2017,Google Pay,2.212391691,3602.44213,August,2017,,,
29-08-2017,Google Pay,2.031908606,3605.05236,August,2017,,,
30-08-2017,Google Pay,2.063977705,3609.670301,August,2017,,,
31-08-2017,Google Pay,2.183500479,3615.432778,August,2017,,,
